thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,down,1,4.153895100054797,None,4,0,0,0,0,0.014163800049573183,,0.00879180000629276,0.014163800049573183,0.014163800049573183,1.0505426000454463,4.171319900022354,down,1,4.153895100054797,None,4,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
1,0,1,down,1,1.6632337999762967,None,3,1,0,1,0,4.1867868000408635,,4.1716494000284,4.1867868000408635,4.1867868000408635,5.202432300022338,5.853315900021698,down,1,1.6632337999762967,None,3,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
2,0,2,up,0,1.596194799989462,None,-1,2,0,2,0,5.8684572000056505,,5.853677800041623,5.8684572000056505,5.8684572000056505,6.8677269000327215,7.468769200029783,up,0,1.596194799989462,None,-1,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
3,0,3,up,1,1.9728217999800108,None,0,3,0,3,0,7.483764500007965,,7.469196900026873,7.483764500007965,7.483764500007965,8.483217200031504,9.466991499997675,up,1,1.9728217999800108,None,0,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
4,0,4,up,1,1.4842564999707974,None,0,4,0,4,0,9.481959600001574,,9.467374100000598,9.481959600001574,9.481959600001574,10.481158200011123,10.982357200002298,up,1,1.4842564999707974,None,0,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
5,0,5,up,0,1.6035500999423675,None,0,5,0,5,0,10.997438000049442,,10.982815800001845,10.997438000049442,10.997438000049442,12.013361200049985,12.613889400032349,up,0,1.6035500999423675,None,0,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
6,0,6,up,1,1.7505821000086144,None,0,6,0,6,0,12.629172200046014,,12.614228300051764,12.629172200046014,12.629172200046014,13.628665300027933,14.395806100044865,up,1,1.7505821000086144,None,0,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
7,0,7,up,1,2.053895300021395,None,0,7,0,7,0,14.410947900032625,,14.396111300040502,14.410947900032625,14.410947900032625,15.41023140004836,16.477335000003222,up,1,2.053895300021395,None,0,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
8,0,8,down,1,1.5565161999547854,None,-5,8,0,8,0,16.492656200018246,,16.47774840000784,16.492656200018246,16.492656200018246,17.508366700029,18.059232100029476,down,1,1.5565161999547854,None,-5,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
9,0,9,up,0,1.6810943000018597,None,1,9,0,9,0,18.07447690004483,,18.059622000029776,18.07447690004483,18.07447690004483,19.073671200021636,19.75748630001908,up,0,1.6810943000018597,None,1,0001,001,2025-09-04_09h36.47.187,untitled,2024.2.4,60.22558093589885,2025-09-04 09h37.03.828816 +0530,
